countryCode,gold,silver,bronze,total_medals,weighted_score,cluster
Usa,1219,1000,876,3095,6533,2
Urs,473,376,355,1204,2526,3
Chn,325,258,221,804,1712,3
Ger,317,318,320,955,1907,3
Gbr,310,344,360,1014,1978,3
Fra,280,320,354,954,1834,3
Ita,271,244,284,799,1585,3
Swe,216,232,242,690,1354,0
Nor,213,187,176,576,1189,0
Jpn,206,191,221,618,1221,0
Rus,194,164,185,543,1095,0
Gdr,192,165,162,519,1068,0
Hun,189,163,188,540,1081,0
Aus,188,199,232,619,1194,0
Ned,163,161,179,503,990,0
Can,157,189,232,578,1081,0
Fin,146,150,184,480,922,0
Kor,142,130,127,399,813,5
Sui,117,128,137,382,744,5
Aut,93,123,135,351,660,5
Rou,93,101,124,318,605,5
Cub,86,70,88,244,486,5
Pol,80,100,151,331,591,5
Frg,67,82,94,243,459,5
Nzl,65,42,56,163,335,4
Bul,58,91,88,237,444,5
Eun,54,44,37,135,287,4
Esp,54,77,61,192,377,4
Tch,51,57,60,168,327,4
Den,50,81,84,215,396,4
Bel,49,59,67,175,332,4
Tur,41,29,41,111,222,4
Ukr,41,43,76,160,285,4
Bra,40,49,81,170,299,4
Ken,39,44,41,124,246,4
Gre,36,46,47,129,247,4
Eua,36,60,41,137,269,4
Cze,32,33,41,106,203,4
Rsa,28,36,31,95,187,4
Jam,27,39,28,94,187,4
Iri,27,29,32,88,171,4
Yug,26,32,29,87,171,4
Roc,25,40,38,103,193,4
Eth,24,15,23,62,125,1
Arg,22,27,31,80,151,4
Blr,21,37,47,105,184,4
Cro,20,21,18,59,120,1
Uzb,19,8,23,50,96,1
Prk,16,19,28,63,114,1
Kaz,16,28,42,86,146,4
Irl,15,10,17,42,82,1
Est,14,11,19,44,83,1
Svk,14,18,11,43,89,1
Slo,14,18,23,55,101,1
Mex,13,27,37,77,130,4
Geo,13,15,19,47,88,1
Zzx,11,6,8,25,53,1
Tha,11,11,19,41,74,1
Ind,10,10,21,41,71,1
Ina,10,14,16,40,74,1
Aze,9,16,31,56,90,1
Srb,9,8,12,29,55,1
Egy,9,12,20,41,71,1
Tpe,9,11,23,43,72,1
Mar,8,5,13,26,47,1
Bah,8,2,6,16,34,1
Alg,7,4,9,20,38,1
Ltu,6,9,15,30,51,1
Por,6,11,15,32,55,1
Tun,6,4,8,18,34,1
Lat,5,14,12,31,55,1
Col,5,16,17,38,64,1
Uga,5,5,3,13,28,1
Brn,4,3,1,8,19,1
Dom,4,5,6,15,28,1
Pak,4,3,4,11,22,1
Ecu,4,4,2,10,22,1
Hkg,4,3,6,13,24,1
Isr,4,6,10,20,34,1
Ngr,3,11,13,27,44,1
Tto,3,5,11,19,30,1
Cmr,3,1,2,6,13,1
Kos,3,1,1,5,12,1
Chi,3,8,4,15,29,1
Phi,3,5,10,18,29,1
Ven,3,7,9,19,32,1
Anz,3,4,5,12,22,1
Zim,3,4,1,8,18,1
Scg,2,4,3,9,17,1
Lux,2,3,0,5,12,1
Lie,2,2,6,10,16,1
Uru,2,2,6,10,16,1
Oar,2,6,9,17,27,1
Arm,2,11,9,22,37,1
Fij,2,1,1,4,9,1
Pur,2,2,8,12,18,1
Qat,2,2,5,9,15,1
Mgl,2,12,17,31,47,1
Syr,1,1,2,4,7,1
Sin,1,2,3,6,10,1
Pan,1,1,2,4,7,1
Per,1,3,1,5,10,1
Sur,1,0,1,2,4,1
Tjk,1,1,5,7,10,1
Vie,1,3,1,5,10,1
Ber,1,0,1,2,4,1
Bot,1,2,1,4,8,1
Ioa,1,0,1,2,4,1
Lca,1,1,0,2,5,1
Moz,1,0,1,2,4,1
Uae,1,0,1,2,4,1
Bdi,1,1,0,2,5,1
Ain,1,3,1,5,10,1
Jor,1,2,1,4,8,1
Crc,1,1,2,4,7,1
Grn,1,1,3,5,8,1
Rui,1,4,3,8,14,1
Dma,1,0,0,1,3,1
Civ,1,1,3,5,8,1
Gua,1,1,1,3,6,1
Sen,0,1,0,1,2,1
Tkm,0,1,0,1,2,1
Afg,0,0,2,2,2,1
Iop,0,1,2,3,4,1
Mri,0,0,1,1,1,1
Nam,0,5,0,5,10,1
Mda,0,3,7,10,13,1
Hai,0,1,1,2,3,1
Isv,0,1,0,1,2,1
Nig,0,1,1,2,3,1
Par,0,1,0,1,2,1
Boh,0,1,3,4,5,1
Bwi,0,0,2,2,2,1
Kgz,0,5,8,13,18,1
Sud,0,1,0,1,2,1
Sri,0,2,0,2,4,1
Tan,0,2,0,2,4,1
Eri,0,0,1,1,1,1
Ksa,0,2,2,4,6,1
Alb,0,0,2,2,2,1
Kuw,0,0,3,3,3,1
Guy,0,0,1,1,1,1
Mkd,0,1,1,2,3,1
Mas,0,8,7,15,23,1
Isl,0,2,2,4,6,1
Mne,0,1,0,1,2,1
Bar,0,0,1,1,1,1
Bur,0,0,1,1,1,1
Smr,0,1,2,3,4,1
Tga,0,1,0,1,2,1
Tog,0,0,1,1,1,1
Irq,0,0,1,1,1,1
Cpv,0,0,1,1,1,1
Zam,0,1,2,3,4,1
Cyp,0,2,0,2,4,1
Dji,0,0,1,1,1,1
Gha,0,1,4,5,6,1
Lib,0,2,2,4,6,1
Aho,0,1,0,1,2,1
Eor,0,0,1,1,1,1
Gab,0,1,0,1,2,1
Sam,0,1,0,1,2,1
