countryCode,nbOr,nbArgent,nbBronze,totalMedals,weightedScore,numDisciplines,temporalSpan,medalsPerAthlete,cluster
USA,1180,810,659,2649,5819,43,128,1.9477941176470588,4
NOR,240,218,155,613,1311,21,124,2.39453125,2
URS,411,309,241,961,2092,21,56,1.9937759336099585,2
NED,148,137,156,441,874,16,124,2.0416666666666665,2
ITA,268,246,283,797,1579,38,124,1.9204819277108434,2
JPN,172,180,172,524,1048,32,104,1.9848484848484849,2
FIN,145,140,189,474,904,20,114,2.0881057268722465,2
RUS,186,144,133,463,979,32,34,1.844621513944223,2
AUS,189,188,200,577,1143,24,128,2.083032490974729,2
GER,336,339,274,949,1960,37,128,2.036480686695279,2
CHN,350,261,182,793,1754,33,40,2.049095607235142,2
HUN,174,146,150,470,964,18,128,1.9421487603305785,2
BEL,67,54,46,167,355,16,124,1.67,1
EUN,58,39,40,137,292,14,16,2.5849056603773586,5
TCH,34,48,36,118,234,16,68,1.5945945945945945,1
SWE,210,227,206,643,1290,27,124,1.8061797752808988,2
GBR,328,322,295,945,1923,32,128,1.6637323943661972,2
ROC,34,53,30,117,238,17,62,1.9180327868852458,1
NZL,67,49,43,159,342,14,92,1.6736842105263159,1
GDR,210,118,120,448,986,19,40,1.8436213991769548,2
JAM,35,46,23,104,220,1,76,2.6666666666666665,5
ROM,41,27,26,94,203,7,60,1.88,1
ZIM,2,4,1,7,15,1,4,7.0,3
KOR,152,107,101,360,771,23,76,1.791044776119403,2
SUI,96,123,127,346,661,27,128,1.8210526315789475,2
POL,69,82,113,264,484,23,100,1.6097560975609757,2
FRA,248,293,320,861,1650,35,128,1.6589595375722543,2
AUT,83,108,119,310,584,25,128,1.878787878787879,2
ROU,78,87,91,256,499,12,88,1.9692307692307693,1
CZE,25,25,39,89,164,15,32,1.934782608695652,5
KAZ,9,20,29,58,96,15,36,1.4871794871794872,1
SVK,7,13,6,26,53,8,28,1.8571428571428572,5
CRO,16,18,12,46,96,10,32,2.1904761904761907,5
ANZ,1,4,6,11,17,2,16,2.2,5
BLR,17,26,42,85,145,13,36,1.7346938775510203,1
CAN,129,145,185,459,862,33,116,1.751908396946565,2
BRA,25,31,69,125,206,12,104,1.8115942028985508,1
ETH,20,10,16,46,96,1,64,2.0,5
EUA,31,41,30,102,205,16,32,1.6721311475409837,1
UKR,41,39,63,143,264,22,32,1.4895833333333333,1
FRG,77,69,66,212,435,18,60,1.7520661157024793,1
DEN,45,57,68,170,317,15,128,1.6346153846153846,1
BUL,42,59,66,167,310,13,72,1.3801652892561984,1
