"countryCode,""gold"",""silver"",""bronze"""
Usa,1219,1000,876
Urs,473,376,355
Chn,325,258,221
Ger,317,318,320
Gbr,310,344,360
Fra,280,320,354
Ita,271,244,284
Swe,216,232,242
Nor,213,187,176
Jpn,206,191,221
Rus,194,164,185
Gdr,192,165,162
Hun,189,163,188
Aus,188,199,232
Ned,163,161,179
Can,157,189,232
Fin,146,150,184
Kor,142,130,127
Sui,117,128,137
Aut,93,123,135
Rou,93,101,124
Cub,86,70,88
Pol,80,100,151
Frg,67,82,94
Nzl,65,42,56
Bul,58,91,88
Eun,54,44,37
Esp,54,77,61
Tch,51,57,60
Den,50,81,84
Bel,49,59,67
Tur,41,29,41
Ukr,41,43,76
Bra,40,49,81
Ken,39,44,41
Gre,36,46,47
Eua,36,60,41
Cze,32,33,41
Rsa,28,36,31
Jam,27,39,28
Iri,27,29,32
Yug,26,32,29
Roc,25,40,38
Eth,24,15,23
Arg,22,27,31
Blr,21,37,47
Cro,20,21,18
Uzb,19,8,23
Prk,16,19,28
Kaz,16,28,42
Irl,15,10,17
Est,14,11,19
Svk,14,18,11
Slo,14,18,23
Mex,13,27,37
Geo,13,15,19
Zzx,11,6,8
Tha,11,11,19
Ind,10,10,21
Ina,10,14,16
Aze,9,16,31
Srb,9,8,12
Egy,9,12,20
Tpe,9,11,23
Mar,8,5,13
Bah,8,2,6
Alg,7,4,9
Ltu,6,9,15
Por,6,11,15
Tun,6,4,8
Lat,5,14,12
Col,5,16,17
Uga,5,5,3
Brn,4,3,1
Dom,4,5,6
Pak,4,3,4
Ecu,4,4,2
Hkg,4,3,6
Isr,4,6,10
Ngr,3,11,13
Tto,3,5,11
Cmr,3,1,2
Kos,3,1,1
Chi,3,8,4
Phi,3,5,10
Ven,3,7,9
Anz,3,4,5
Zim,3,4,1
Scg,2,4,3
Lux,2,3,0
Lie,2,2,6
Uru,2,2,6
Oar,2,6,9
Arm,2,11,9
Fij,2,1,1
Pur,2,2,8
Qat,2,2,5
Mgl,2,12,17
Syr,1,1,2
Sin,1,2,3
Pan,1,1,2
Per,1,3,1
Sur,1,0,1
Tjk,1,1,5
Vie,1,3,1
Ber,1,0,1
Bot,1,2,1
Ioa,1,0,1
Lca,1,1,0
Moz,1,0,1
Uae,1,0,1
Bdi,1,1,0
Ain,1,3,1
Jor,1,2,1
Crc,1,1,2
Grn,1,1,3
Rui,1,4,3
Dma,1,0,0
Civ,1,1,3
Gua,1,1,1
Sen,0,1,0
Tkm,0,1,0
Afg,0,0,2
Iop,0,1,2
Mri,0,0,1
Nam,0,5,0
Mda,0,3,7
Hai,0,1,1
Isv,0,1,0
Nig,0,1,1
Par,0,1,0
Boh,0,1,3
Bwi,0,0,2
Kgz,0,5,8
Sud,0,1,0
Sri,0,2,0
Tan,0,2,0
Eri,0,0,1
Ksa,0,2,2
Alb,0,0,2
Kuw,0,0,3
Guy,0,0,1
Mkd,0,1,1
Mas,0,8,7
Isl,0,2,2
Mne,0,1,0
Bar,0,0,1
Bur,0,0,1
Smr,0,1,2
Tga,0,1,0
Tog,0,0,1
Irq,0,0,1
Cpv,0,0,1
Zam,0,1,2
Cyp,0,2,0
Dji,0,0,1
Gha,0,1,4
Lib,0,2,2
Aho,0,1,0
Eor,0,0,1
Gab,0,1,0
Sam,0,1,0
