"personne,""discipline"",""nation"",""anneeMin"",""anneeMax"",""nbOr"",""nbArgent"",""nbBronze"",""total"""
"http://dbpedia.org/resource/Michael_Phelps,""Swimming"",""USA"",2004,2016,21,2,2,25"
"http://dbpedia.org/resource/Marit_Bjørgen,""Cross-country skiing"",""NOR"",2002,2018,8,4,3,15"
"http://dbpedia.org/resource/Larisa_Latynina,""Gymnastics"",""URS"",1956,1964,8,4,3,15"
"http://dbpedia.org/resource/Ireen_Wüst,""Speed skating"",""NED"",2006,2022,6,5,2,13"
"http://dbpedia.org/resource/Katie_Ledecky,""Swimming"",""USA"",2012,2024,8,4,1,13"
"http://dbpedia.org/resource/Ole_Einar_Bjørndalen,""Biathlon"",""NOR"",1998,2014,8,4,1,13"
"http://dbpedia.org/resource/Edoardo_Mangiarotti,""Fencing"",""ITA"",1936,1960,6,5,2,13"
"http://dbpedia.org/resource/Bjørn_Dæhlie,""Cross-country skiing"",""NOR"",1992,1998,8,4,0,12"
"http://dbpedia.org/resource/Boris_Shakhlin,""Gymnastics"",""URS"",1956,1964,7,3,2,12"
"http://dbpedia.org/resource/Natalie_Coughlin,""Swimming"",""USA"",2004,2012,3,4,5,12"
"http://dbpedia.org/resource/Dara_Torres,""Swimming"",""USA"",1984,2008,4,4,4,12"
"http://dbpedia.org/resource/Jenny_Thompson,""Swimming"",""USA"",1992,2004,8,3,1,12"
"http://dbpedia.org/resource/Takashi_Ono_(gymnast),""Gymnastics"",""JPN"",1952,1960,4,4,4,12"
"http://dbpedia.org/resource/Paavo_Nurmi,""Athletics"",""FIN"",1920,1928,9,3,0,12"
"http://dbpedia.org/resource/Nikolai_Andrianov,""Gymnastics"",""URS"",1972,1980,6,2,3,11"
"http://dbpedia.org/resource/Matt_Biondi,""Swimming"",""USA"",1984,1992,8,2,1,11"
"http://dbpedia.org/resource/Viktor_Chukarin,""Gymnastics"",""URS"",1952,1956,7,3,1,11"
"http://dbpedia.org/resource/Alexei_Nemov,""Gymnastics"",""RUS"",1996,2000,4,2,5,11"
"http://dbpedia.org/resource/Emma_McKeon,""Swimming"",""AUS"",2016,2024,5,2,4,11"
"http://dbpedia.org/resource/Simone_Biles,""Gymnastics"",""USA"",2016,2024,7,2,2,11"
"http://dbpedia.org/resource/Caeleb_Dressel,""Swimming"",""USA"",2016,2024,9,1,0,10"
"http://dbpedia.org/resource/Franziska_van_Almsick,""Swimming"",""GER"",1992,2004,0,4,6,10"
"http://dbpedia.org/resource/Allyson_Felix,""Athletics"",""USA"",2004,2020,6,3,1,10"
"http://dbpedia.org/resource/Stefania_Belmondo,""Cross-country skiing"",""ITA"",1992,2002,2,3,5,10"
"http://dbpedia.org/resource/Zhang_Yufei_(swimmer),""Swimming"",""CHN"",2020,2024,2,3,5,10"
"http://dbpedia.org/resource/Ágnes_Keleti,""Gymnastics"",""HUN"",1952,1956,5,3,2,10"
"http://dbpedia.org/resource/Hubert_Van_Innis,""Archery"",""BEL"",1900,1920,6,4,0,10"
"http://dbpedia.org/resource/Ryan_Lochte,""Swimming"",""USA"",2004,2016,5,2,3,10"
"http://dbpedia.org/resource/Vitaly_Scherbo,""Gymnastics"",""EUN"",1992,1996,6,0,4,10"
"http://dbpedia.org/resource/Gary_Hall_Jr.,""Swimming"",""USA"",1996,2004,5,3,2,10"
"http://dbpedia.org/resource/Arianna_Fontana,""Short-track speed skating"",""ITA"",2010,2022,2,4,4,10"
"http://dbpedia.org/resource/Sawao_Katō,""Gymnastics"",""JPN"",1968,1976,6,3,1,10"
"http://dbpedia.org/resource/Raisa_Smetanina,""Cross-country skiing"",""URS"",1972,1992,4,5,1,10"
"http://dbpedia.org/resource/Claudia_Pechstein,""Speed skating"",""GER"",1992,2006,5,2,2,9"
"http://dbpedia.org/resource/Věra_Čáslavská,""Gymnastics"",""TCH"",1960,1968,5,4,0,9"
"http://dbpedia.org/resource/Kyle_Chalmers,""Swimming"",""AUS"",2016,2024,1,3,5,9"
"http://dbpedia.org/resource/Charlotte_Kalla,""Cross-country skiing"",""SWE"",2010,2018,3,6,0,9"
"http://dbpedia.org/resource/Jason_Kenny,""Cycling"",""GBR"",2008,2020,7,2,0,9"
